document,doc_chars,font_size,profile,page_px,n_pages,chars_per_page,text_tokens,text_tokens_exact,vision_tokens,compression_ratio
paper_deepseek_ocr.txt,16091,8,deepseek-ocr-tiny,512,4,4800,3245,True,256,12.676
paper_deepseek_ocr.txt,16091,8,deepseek-ocr-small,640,3,7808,3245,True,300,10.817
paper_deepseek_ocr.txt,16091,8,deepseek-ocr-base,1024,1,21412,3245,True,256,12.676
paper_deepseek_ocr.txt,16091,8,deepseek-ocr-large,1280,1,33915,3245,True,400,8.113
paper_deepseek_ocr.txt,16091,10,deepseek-ocr-tiny,512,6,3080,3245,True,384,8.451
paper_deepseek_ocr.txt,16091,10,deepseek-ocr-small,640,4,4998,3245,True,400,8.113
paper_deepseek_ocr.txt,16091,10,deepseek-ocr-base,1024,2,13524,3245,True,512,6.338
paper_deepseek_ocr.txt,16091,10,deepseek-ocr-large,1280,1,21828,3245,True,400,8.113
paper_deepseek_ocr.txt,16091,12,deepseek-ocr-tiny,512,8,2112,3245,True,512,6.338
paper_deepseek_ocr.txt,16091,12,deepseek-ocr-small,640,5,3402,3245,True,500,6.49
paper_deepseek_ocr.txt,16091,12,deepseek-ocr-base,1024,2,9450,3245,True,512,6.338
paper_deepseek_ocr.txt,16091,12,deepseek-ocr-large,1280,2,15130,3245,True,800,4.056
paper_deepseek_ocr.txt,16091,14,deepseek-ocr-tiny,512,11,1540,3245,True,704,4.609
paper_deepseek_ocr.txt,16091,14,deepseek-ocr-small,640,7,2520,3245,True,700,4.636
paper_deepseek_ocr.txt,16091,14,deepseek-ocr-base,1024,3,6900,3245,True,768,4.225
paper_deepseek_ocr.txt,16091,14,deepseek-ocr-large,1280,2,11096,3245,True,800,4.056
paper_deepseek_ocr.txt,16091,16,deepseek-ocr-tiny,512,15,1200,3245,True,960,3.38
paper_deepseek_ocr.txt,16091,16,deepseek-ocr-small,640,9,1952,3245,True,900,3.606
paper_deepseek_ocr.txt,16091,16,deepseek-ocr-base,1024,4,5353,3245,True,1024,3.169
paper_deepseek_ocr.txt,16091,16,deepseek-ocr-large,1280,2,8382,3245,True,800,4.056
paper_deepseek_ocr.txt,16091,20,deepseek-ocr-tiny,512,23,760,3245,True,1472,2.204
paper_deepseek_ocr.txt,16091,20,deepseek-ocr-small,640,14,1225,3245,True,1400,2.318
paper_deepseek_ocr.txt,16091,20,deepseek-ocr-base,1024,5,3360,3245,True,1280,2.535
paper_deepseek_ocr.txt,16091,20,deepseek-ocr-large,1280,4,5406,3245,True,1600,2.028
paper_deepseek_ocr.txt,16091,24,deepseek-ocr-tiny,512,35,512,3245,True,2240,1.449
paper_deepseek_ocr.txt,16091,24,deepseek-ocr-small,640,21,840,3245,True,2100,1.545
paper_deepseek_ocr.txt,16091,24,deepseek-ocr-base,1024,8,2345,3245,True,2048,1.584
paper_deepseek_ocr.txt,16091,24,deepseek-ocr-large,1280,5,3740,3245,True,2000,1.623
readme_ohmyzsh.md,21129,8,deepseek-ocr-tiny,512,14,4800,5670,True,896,6.328
readme_ohmyzsh.md,21129,8,deepseek-ocr-small,640,9,7808,5670,True,900,6.3
readme_ohmyzsh.md,21129,8,deepseek-ocr-base,1024,6,21412,5670,True,1536,3.691
readme_ohmyzsh.md,21129,8,deepseek-ocr-large,1280,5,33915,5670,True,2000,2.835
readme_ohmyzsh.md,21129,10,deepseek-ocr-tiny,512,18,3080,5670,True,1152,4.922
readme_ohmyzsh.md,21129,10,deepseek-ocr-small,640,13,4998,5670,True,1300,4.362
readme_ohmyzsh.md,21129,10,deepseek-ocr-base,1024,7,13524,5670,True,1792,3.164
readme_ohmyzsh.md,21129,10,deepseek-ocr-large,1280,6,21828,5670,True,2400,2.362
readme_ohmyzsh.md,21129,12,deepseek-ocr-tiny,512,22,2112,5670,True,1408,4.027
readme_ohmyzsh.md,21129,12,deepseek-ocr-small,640,17,3402,5670,True,1700,3.335
readme_ohmyzsh.md,21129,12,deepseek-ocr-base,1024,9,9450,5670,True,2304,2.461
readme_ohmyzsh.md,21129,12,deepseek-ocr-large,1280,7,15130,5670,True,2800,2.025
readme_ohmyzsh.md,21129,14,deepseek-ocr-tiny,512,28,1540,5670,True,1792,3.164
readme_ohmyzsh.md,21129,14,deepseek-ocr-small,640,20,2520,5670,True,2000,2.835
readme_ohmyzsh.md,21129,14,deepseek-ocr-base,1024,10,6900,5670,True,2560,2.215
readme_ohmyzsh.md,21129,14,deepseek-ocr-large,1280,8,11096,5670,True,3200,1.772
readme_ohmyzsh.md,21129,16,deepseek-ocr-tiny,512,34,1200,5670,True,2176,2.606
readme_ohmyzsh.md,21129,16,deepseek-ocr-small,640,23,1952,5670,True,2300,2.465
readme_ohmyzsh.md,21129,16,deepseek-ocr-base,1024,13,5353,5670,True,3328,1.704
readme_ohmyzsh.md,21129,16,deepseek-ocr-large,1280,9,8382,5670,True,3600,1.575
readme_ohmyzsh.md,21129,20,deepseek-ocr-tiny,512,47,760,5670,True,3008,1.885
readme_ohmyzsh.md,21129,20,deepseek-ocr-small,640,34,1225,5670,True,3400,1.668
readme_ohmyzsh.md,21129,20,deepseek-ocr-base,1024,17,3360,5670,True,4352,1.303
readme_ohmyzsh.md,21129,20,deepseek-ocr-large,1280,12,5406,5670,True,4800,1.181
readme_ohmyzsh.md,21129,24,deepseek-ocr-tiny,512,66,512,5670,True,4224,1.342
readme_ohmyzsh.md,21129,24,deepseek-ocr-small,640,44,840,5670,True,4400,1.289
readme_ohmyzsh.md,21129,24,deepseek-ocr-base,1024,21,2345,5670,True,5376,1.055
readme_ohmyzsh.md,21129,24,deepseek-ocr-large,1280,16,3740,5670,True,6400,0.886
source_convert_hf_to_gguf.py,16000,8,deepseek-ocr-tiny,512,8,4800,3652,True,512,7.133
source_convert_hf_to_gguf.py,16000,8,deepseek-ocr-small,640,6,7808,3652,True,600,6.087
source_convert_hf_to_gguf.py,16000,8,deepseek-ocr-base,1024,4,21412,3652,True,1024,3.566
source_convert_hf_to_gguf.py,16000,8,deepseek-ocr-large,1280,3,33915,3652,True,1200,3.043
source_convert_hf_to_gguf.py,16000,10,deepseek-ocr-tiny,512,11,3080,3652,True,704,5.188
source_convert_hf_to_gguf.py,16000,10,deepseek-ocr-small,640,8,4998,3652,True,800,4.565
source_convert_hf_to_gguf.py,16000,10,deepseek-ocr-base,1024,5,13524,3652,True,1280,2.853
source_convert_hf_to_gguf.py,16000,10,deepseek-ocr-large,1280,4,21828,3652,True,1600,2.283
source_convert_hf_to_gguf.py,16000,12,deepseek-ocr-tiny,512,15,2112,3652,True,960,3.804
source_convert_hf_to_gguf.py,16000,12,deepseek-ocr-small,640,11,3402,3652,True,1100,3.32
source_convert_hf_to_gguf.py,16000,12,deepseek-ocr-base,1024,6,9450,3652,True,1536,2.378
source_convert_hf_to_gguf.py,16000,12,deepseek-ocr-large,1280,5,15130,3652,True,2000,1.826
source_convert_hf_to_gguf.py,16000,14,deepseek-ocr-tiny,512,18,1540,3652,True,1152,3.17
source_convert_hf_to_gguf.py,16000,14,deepseek-ocr-small,640,13,2520,3652,True,1300,2.809
source_convert_hf_to_gguf.py,16000,14,deepseek-ocr-base,1024,7,6900,3652,True,1792,2.038
source_convert_hf_to_gguf.py,16000,14,deepseek-ocr-large,1280,5,11096,3652,True,2000,1.826
source_convert_hf_to_gguf.py,16000,16,deepseek-ocr-tiny,512,22,1200,3652,True,1408,2.594
source_convert_hf_to_gguf.py,16000,16,deepseek-ocr-small,640,15,1952,3652,True,1500,2.435
source_convert_hf_to_gguf.py,16000,16,deepseek-ocr-base,1024,8,5353,3652,True,2048,1.783
source_convert_hf_to_gguf.py,16000,16,deepseek-ocr-large,1280,6,8382,3652,True,2400,1.522
source_convert_hf_to_gguf.py,16000,20,deepseek-ocr-tiny,512,32,760,3652,True,2048,1.783
source_convert_hf_to_gguf.py,16000,20,deepseek-ocr-small,640,22,1225,3652,True,2200,1.66
source_convert_hf_to_gguf.py,16000,20,deepseek-ocr-base,1024,11,3360,3652,True,2816,1.297
source_convert_hf_to_gguf.py,16000,20,deepseek-ocr-large,1280,8,5406,3652,True,3200,1.141
